No,Kode,Nama perusahaan,Tanggal pencatatan,Jumlah Saham,Papan pencatatan,Sektor
238,BEI: CYBR,ITSEC Asia Tbk.,8 Agustus 2023,6.449.584.143,Pengembangan,Technology
239,BEI: DAAZ,Daaz Bara Lestari Tbk.,11 November 2024,1.997.000.000,Utama,Basic Materials
240,BEI: DADA,Diamond Citra Propertindo Tbk.,14 Februari 2020,7.431.530.800,Pemantauan Khusus,Properties & Real Estate
241,BEI: DART,Duta Anggada Realty Tbk.,8 Mei 1990,3.141.390.962,Pengembangan,Properties & Real Estate
242,BEI: DATA,Remala Abadi Tbk.,7 Mei 2024,1.375.000.000,Pengembangan,Infrastructure
243,BEI: DAYA,Duta Intidaya Tbk.,28 Juni 2016,2.420.547.025,Pengembangan,Consumer Non-Cyclicals
244,BEI: DCII,DCI Indonesia Tbk.,6 Januari 2021,2.383.745.900,Pengembangan,Technology
245,BEI: DEAL,Dewata Freightinternational Tb,11 November 2018,1.146.170.959,Pemantauan Khusus,Transportation & Logistics
246,BEI: DEFI,Danasupra Erapacific Tbk.,6 Juli 2001,687.266.666,Pemantauan Khusus,Financials
247,BEI: DEPO,Caturkarda Depo Bangunan Tbk.,25 November 2021,6.790.000.000,Pengembangan,Consumer Cyclicals
248,BEI: DEWA,Darma Henwa Tbk,26 September 2007,21.853.733.792,Utama,Energy
249,BEI: DEWI,Dewi Shri Farmindo Tbk.,18 Juli 2022,2.000.000.000,Pengembangan,Consumer Non-Cyclicals
250,BEI: DFAM,Dafam Property Indonesia Tbk.,27 April 2018,1.899.852.850,Pengembangan,Consumer Cyclicals
251,BEI: DGIK,Nusa Konstruksi Enjiniring Tbk,19 Desember 2007,5.541.165.000,Pengembangan,Infrastructure
252,BEI: DGNS,Diagnos Laboratorium Utama Tbk,15 Januari 2021,1.250.000.000,Pengembangan,Healthcare
253,BEI: DIGI,Arkadia Digital Media Tbk.,18 September 2018,1.625.000.000,Pemantauan Khusus,Consumer Cyclicals
254,BEI: DILD,Intiland Development Tbk.,4 September 1991,10.365.854.185,Utama,Properties & Real Estate
255,BEI: DIVA,Distribusi Voucher Nusantara T,27 November 2018,1.428.571.400,Pengembangan,Technology
256,BEI: DKFT,Central Omega Resources Tbk.,21 November 1997,5.638.246.600,Pengembangan,Basic Materials
257,BEI: DLTA,Delta Djakarta Tbk.,27 Februari 1984,800.659.050,Utama,Consumer Non-Cyclicals
258,BEI: DMAS,Puradelta Lestari Tbk.,29 Mei 2015,48.198.111.100,Utama,Properties & Real Estate
259,BEI: DMMX,Digital Mediatama Maxima Tbk.,21 Oktober 2019,7.692.307.700,Pengembangan,Technology
260,BEI: DMND,Diamond Food Indonesia Tbk.,22 Januari 2020,9.468.359.000,Pemantauan Khusus,Consumer Non-Cyclicals
261,BEI: DNAR,Bank Oke Indonesia Tbk.,11 Juli 2014,16.867.292.274,Pengembangan,Financials
262,BEI: DNET,Indoritel Makmur Internasional,11 Desember 2000,14.184.000.000,Pengembangan,Financials
263,BEI: DOID,Delta Dunia Makmur Tbk.,15 Juni 2001,7.651.007.132,Utama,Energy
264,BEI: DOOH,Era Media Sejahtera Tbk.,8 Mei 2023,7.737.562.251,Pengembangan,Consumer Cyclicals
265,BEI: DOSS,Global Sukses Digital Tbk.,7 Agustus 2024,1.725.000.000,Pengembangan,Consumer Cyclicals
266,BEI: DPNS,Duta Pertiwi Nusantara Tbk.,8 Agustus 1990,331.129.952,Pengembangan,Basic Materials
267,BEI: DPUM,Dua Putra Utama Makmur Tbk.,8 Desember 2015,4.175.000.000,Pemantauan Khusus,Consumer Non-Cyclicals
268,BEI: DRMA,Dharma Polimetal Tbk.,20 Desember 2021,4.705.882.300,Utama,Consumer Cyclicals
269,BEI: DSFI,Dharma Samudera Fishing Indust,24 Maret 2000,1.857.135.500,Pengembangan,Consumer Non-Cyclicals
270,BEI: DSNG,Dharma Satya Nusantara Tbk.,14 Juni 2013,10.599.842.400,Utama,Consumer Non-Cyclicals
271,BEI: DSSA,Dian Swastatika Sentosa Tbk,10 Desember 2009,7.705.523.200,Utama,Energy
272,BEI: PTDU,Djasa Ubersakti Tbk.,8 Desember 2020,1.500.000.000,Pemantauan Khusus,Infrastructure
273,BEI: DUCK,Jaya Bersama Indo Tbk.,10 Oktober 2018,1.283.330.000,Pemantauan Khusus,Consumer Cyclicals
274,BEI: DUTI,Duta Pertiwi Tbk,2 November 1994,1.850.000.000,Pemantauan Khusus,Properties & Real Estate
275,BEI: DVLA,Darya-Varia Laboratoria Tbk.,11 November 1994,1.120.000.000,Pengembangan,Healthcare
276,BEI: DWGL,Dwi Guna Laksana Tbk.,13 Desember 2017,9.252.820.991,Pengembangan,Energy
277,BEI: DYAN,Dyandra Media International Tb,25 Maret 2013,4.272.964.279,Pengembangan,Industrials
278,BEI: EAST,Eastparc Hotel Tbk.,9 Juli 2019,4.126.405.336,Pengembangan,Consumer Cyclicals
279,BEI: ECII,Electronic City Indonesia Tbk.,3 Juli 2013,1.334.333.000,Pengembangan,Consumer Cyclicals
280,BEI: EDGE,Indointernet Tbk.,8 Februari 2021,2.020.250.000,Pengembangan,Technology
281,BEI: EKAD,Ekadharma International Tbk.,14 Agustus 1990,3.493.875.000,Pengembangan,Basic Materials
282,BEI: ELIT,Data Sinergitama Jaya Tbk.,6 Januari 2023,2.031.643.057,Pengembangan,Technology
283,BEI: ELPI,Pelayaran Nasional Ekalya Purn,8 Agustus 2022,7.412.000.000,Utama,Transportation & Logistics
284,BEI: ELSA,Elnusa Tbk.,6 Februari 2008,7.298.500.000,Utama,Energy
285,BEI: ELTY,Bakrieland Development Tbk.,30 Oktober 1995,43.521.913.019,Pemantauan Khusus,Properties & Real Estate
286,BEI: EMDE,Megapolitan Developments Tbk.,12 Januari 2011,3.350.000.000,Pengembangan,Properties & Real Estate
287,BEI: EMTK,Elang Mahkota Teknologi Tbk.,12 Januari 2010,61.316.751.483,Utama,Technology
288,BEI: ENAK,Champ Resto Indonesia Tbk.,8 Februari 2022,2.166.666.800,Pengembangan,Consumer Cyclicals
289,BEI: ENRG,Energi Mega Persada Tbk.,7 Juni 2004,24.821.230.250,Utama,Energy
290,BEI: ENVY,Envy Technologies Indonesia Tb,8 Juli 2019,1.800.000.000,Pemantauan Khusus,Technology
291,BEI: ENZO,Morenzo Abadi Perkasa Tbk.,14 September 2020,2.162.547.122,Pemantauan Khusus,Consumer Non-Cyclicals
292,BEI: EPAC,Megalestari Epack Sentosaraya,1 Juli 2020,3.303.400.000,Pemantauan Khusus,Basic Materials
293,BEI: EPMT,Enseval Putera Megatrading Tbk,1 Agustus 1994,2.708.640.000,Pengembangan,Consumer Non-Cyclicals
294,BEI: ERAA,Erajaya Swasembada Tbk.,14 Desember 2011,15.950.000.000,Utama,Consumer Cyclicals
295,BEI: ERAL,Sinar Eka Selaras Tbk.,8 Agustus 2023,5.187.500.000,Utama,Consumer Cyclicals
296,BEI: ERTX,Eratex Djaja Tbk.,21 Agustus 1990,1.286.539.792,Pengembangan,Consumer Cyclicals
297,BEI: ESIP,Sinergi Inti Plastindo Tbk.,14 November 2019,1.109.953.847,Pemantauan Khusus,Basic Materials
298,BEI: ESSA,ESSA Industries Indonesia Tbk.,1 Februari 2012,17.226.975.700,Utama,Basic Materials
299,BEI: ESTA,Esta Multi Usaha Tbk.,9 Maret 2020,2.425.354.179,Pengembangan,Consumer Cyclicals
300,BEI: ESTI,Ever Shine Tex Tbk.,13 Oktober 1992,2.015.208.720,Pemantauan Khusus,Consumer Cyclicals
301,BEI: ETWA,Eterindo Wahanatama Tbk,16 Mei 1997,4.668.671.400,Pemantauan Khusus,Basic Materials
302,BEI: EURO,Estee Gold Feet Tbk.,8 Agustus 2022,2.548.826.428,Akselerasi,Consumer Non-Cyclicals
303,BEI: EXCL,XL Axiata Tbk.,29 September 2005,13.128.430.665,Utama,Infrastructure
304,BEI: FAPA,FAP Agri Tbk.,4 Januari 2021,3.629.411.800,Pengembangan,Consumer Non-Cyclicals
305,BEI: FAST,Fast Food Indonesia Tbk.,11 Mei 1993,3.990.277.158,Pengembangan,Consumer Cyclicals
306,BEI: FASW,Fajar Surya Wisesa Tbk.,19 Desember 1994,2.477.888.787,Pemantauan Khusus,Basic Materials
307,BEI: FILM,MD Entertainment Tbk.,7 Agustus 2018,9.897.787.962,Utama,Consumer Cyclicals
308,BEI: FIMP,Fimperkasa Utama Tbk.,9 April 2021,400.000.975,Pemantauan Khusus,Infrastructure
309,BEI: FIRE,Alfa Energi Investama Tbk.,9 Juni 2017,1.475.363.179,Pengembangan,Energy
310,BEI: FISH,FKS Multi Agro Tbk.,18 Januari 2002,480.000.000,Pemantauan Khusus,Consumer Non-Cyclicals
311,BEI: FITT,Hotel Fitra International Tbk.,11 Juni 2019,1.304.272.051,Pengembangan,Consumer Cyclicals
312,BEI: FLMC,Falmaco Nonwoven Industri Tbk.,8 Juli 2021,781.250.000,Akselerasi,Consumer Non-Cyclicals
313,BEI: FMII,Fortune Mate Indonesia Tbk,30 Juni 2000,6.400.000.000,Pengembangan,Properties & Real Estate
314,BEI: FOLK,Multi Garam Utama Tbk.,7 Agustus 2023,3.948.141.464,Pengembangan,Industrials
315,BEI: FOOD,Sentra Food Indonesia Tbk.,8 Januari 2019,650.000.000,Pengembangan,Consumer Non-Cyclicals
316,BEI: FORU,Fortune Indonesia Tbk,17 Januari 2002,465.224.000,Pengembangan,Consumer Cyclicals
317,BEI: FORZ,Forza Land Indonesia Tbk.,28 April 2017,1.984.009.887,Pemantauan Khusus,Properties & Real Estate
318,BEI: FPNI,Lotte Chemical Titan Tbk.,21 Maret 2002,5.566.414.000,Pengembangan,Basic Materials
319,BEI: FREN,Smartfren Telecom Tbk.,29 November 2006,476.703.804.464,Pemantauan Khusus,Infrastructure
320,BEI: FUJI,Fuji Finance Indonesia Tbk.,9 Juli 2019,1.300.000.000,Pengembangan,Financials
321,BEI: FUTR,Lini Imaji Kreasi Ekosistem Tb,27 Februari 2023,6.390.108.330,Pemantauan Khusus,Consumer Cyclicals
322,BEI: FWCT,Wijaya Cahaya Timber Tbk.,1 Februari 2023,1.875.000.000,Pengembangan,Basic Materials
323,BEI: GAMA,Aksara Global Development Tbk.,11 Juli 2012,10.011.027.656,Pemantauan Khusus,Properties & Real Estate
324,BEI: GDST,Gunawan Dianjaya Steel Tbk.,23 Desember 2009,9.242.500.000,Pengembangan,Basic Materials
325,BEI: GDYR,Goodyear Indonesia Tbk.,22 Desember 1980,410.000.000,Pengembangan,Consumer Cyclicals
326,BEI: GEMA,Gema Grahasarana Tbk.,12 Agustus 2002,1.600.000.000,Pengembangan,Consumer Cyclicals
327,BEI: GEMS,Golden Energy Mines Tbk.,17 November 2011,5.882.353.000,Utama,Energy
328,BEI: GGRM,Gudang Garam Tbk.,27 Agustus 1990,1.924.088.000,Utama,Consumer Non-Cyclicals
329,BEI: GGRP,Gunung Raja Paksi Tbk.,19 September 2019,12.111.376.157,Pemantauan Khusus,Basic Materials
330,BEI: GHON,Gihon Telekomunikasi Indonesia,9 April 2018,550.000.000,Pengembangan,Infrastructure
331,BEI: GIAA,Garuda Indonesia (Persero) Tbk,11 Februari 2011,91.480.783.837,Pemantauan Khusus,Transportation & Logistics
332,BEI: GJTL,Gajah Tunggal Tbk.,8 Mei 1990,3.484.800.000,Utama,Consumer Cyclicals
333,BEI: GLOB,Globe Kita Terang Tbk.,10 Juli 2012,1.111.112.000,Pemantauan Khusus,Consumer Cyclicals
334,BEI: GLVA,Galva Technologies Tbk.,23 Desember 2019,1.500.000.000,Pengembangan,Technology
335,BEI: GMFI,Garuda Maintenance Facility Ae,10 Oktober 2017,28.233.511.500,Pemantauan Khusus,Infrastructure
336,BEI: GMTD,Gowa Makassar Tourism Developm,11 Desember 2000,1.015.380.000,Pengembangan,Properties & Real Estate
337,BEI: GOLD,Visi Telekomunikasi Infrastruk,7 Juli 2010,1.277.276.000,Pengembangan,Infrastructure
338,BEI: GOLF,Intra Golflink Resorts Tbk.,8 Juli 2024,19.486.760.000,Utama,Consumer Cyclicals
339,BEI: GOLL,Golden Plantation Tbk.,23 Desember 2014,3.665.000.759,Pemantauan Khusus,Consumer Non-Cyclicals
340,BEI: GOOD,Garudafood Putra Putri Jaya Tb,10 Oktober 2018,36.897.901.455,Utama,Consumer Non-Cyclicals
341,BEI: GOTO,GoTo Gojek Tokopedia Tbk.,11 April 2022,1.140.573.267.220,Ekonomi Baru,Technology
342,BEI: GPRA,Perdana Gapuraprima Tbk.,10 Oktober 2007,4.276.655.336,Pengembangan,Properties & Real Estate
343,BEI: GPSO,Geoprima Solusi Tbk.,6 September 2021,666.741.103,Pengembangan,Industrials
344,BEI: GRIA,Ingria Pratama Capitalindo Tbk,8 Agustus 2023,7.375.720.674,Pengembangan,Properties & Real Estate
345,BEI: GRPH,Griha Putra Persada Tbk.,17 Januari 2024,1.000.000.000,Pengembangan,Consumer Cyclicals
346,BEI: GRPM,Graha Prima Mentari Tbk.,10 Juli 2023,1.545.059.559,Akselerasi,Consumer Non-Cyclicals
347,BEI: GSMF,Equity Development Investment,23 Oktober 1989,14.230.399.705,Pengembangan,Financials
348,BEI: GTBO,Garda Tujuh Buana Tbk,9 Juli 2009,2.500.000.000,Pengembangan,Energy
349,BEI: GTRA,Grahaprima Suksesmandiri Tbk.,30 Maret 2023,1.894.375.000,Pengembangan,Transportation & Logistics
350,BEI: GTSI,GTS Internasional Tbk.,8 September 2021,15.819.142.767,Pemantauan Khusus,Energy
351,BEI: GULA,Aman Agrindo Tbk.,3 Agustus 2022,1.070.362.500,Pengembangan,Consumer Non-Cyclicals
352,BEI: GUNA,Gunanusa Eramandiri Tbk.,9 Juli 2024,2.500.000.000,Pengembangan,Consumer Non-Cyclicals
353,BEI: GWSA,Greenwood Sejahtera Tbk.,23 Desember 2011,7.800.760.000,Utama,Consumer Cyclicals
354,BEI: GZCO,Gozco Plantations Tbk.,15 Mei 2008,6.000.000.000,Pengembangan,Consumer Non-Cyclicals
355,BEI: HADE,Himalaya Energi Perkasa Tbk.,12 April 2004,2.120.000.000,Pemantauan Khusus,Infrastructure
356,BEI: HAIS,Hasnur Internasional Shipping,1 September 2021,2.626.250.000,Pengembangan,Transportation & Logistics
357,BEI: HAJJ,Arsy Buana Travelindo Tbk.,5 April 2023,2.290.526.380,Akselerasi,Consumer Cyclicals
358,BEI: HALO,Haloni Jane Tbk.,8 Februari 2023,5.650.014.381,Pengembangan,Healthcare
359,BEI: HATM,Habco Trans Maritima Tbk.,26 Juli 2022,7.000.000.000,Utama,Transportation & Logistics
360,BEI: HBAT,Minahasa Membangun Hebat Tbk.,7 Agustus 2023,1.040.740.800,Akselerasi,Properties & Real Estate
361,BEI: HDFA,Radana Bhaskara Finance Tbk.,10 Mei 2011,6.542.445.783,Pengembangan,Financials
362,BEI: HDIT,Hensel Davest Indonesia Tbk.,12 Juli 2019,1.524.680.000,Pemantauan Khusus,Technology
363,BEI: HDTX,Panasia Indo Resources Tbk.,6 Juni 1990,3.601.462.800,Pemantauan Khusus,Consumer Cyclicals
364,BEI: HEAL,Medikaloka Hermina Tbk.,16 Mei 2018,15.365.950.000,Utama,Healthcare
365,BEI: HELI,Jaya Trishindo Tbk.,27 Maret 2018,832.862.387,Pengembangan,Transportation & Logistics
366,BEI: HERO,Hero Supermarket Tbk.,21 Agustus 1989,4.183.634.000,Pengembangan,Consumer Non-Cyclicals
367,BEI: HEXA,Hexindo Adiperkasa Tbk.,13 Februari 1995,840.000.000,Utama,Industrials
368,BEI: HILL,Hillcon Tbk.,1 Maret 2023,2.948.300.000,Utama,Energy
369,BEI: HITS,Humpuss Intermoda Transportasi,15 Desember 1997,7.101.084.801,Utama,Energy
370,BEI: HKMU,HK Metals Utama Tbk.,9 Oktober 2018,3.221.750.000,Pemantauan Khusus,Basic Materials
371,BEI: HMSP,H.M. Sampoerna Tbk.,15 Agustus 1990,116.318.076.900,Pengembangan,Consumer Non-Cyclicals
372,BEI: HOKI,Buyung Poetra Sembada Tbk.,22 Juni 2017,9.677.752.680,Utama,Consumer Non-Cyclicals
373,BEI: HOME,Hotel Mandarine Regency Tbk.,17 Juli 2008,22.212.194.782,Pemantauan Khusus,Consumer Cyclicals
374,BEI: HOMI,Grand House Mulia Tbk.,10 September 2020,1.575.000.000,Pengembangan,Properties & Real Estate
375,BEI: HOPE,Harapan Duta Pertiwi Tbk.,24 Mei 2021,2.130.360.203,Pemantauan Khusus,Industrials
376,BEI: HOTL,Saraswati Griya Lestari Tbk.,10 Januari 2013,3.550.001.452,Pemantauan Khusus,Consumer Cyclicals
377,BEI: HRME,Menteng Heritage Realty Tbk.,12 April 2019,5.958.750.000,Pemantauan Khusus,Consumer Cyclicals
378,BEI: HRTA,Hartadinata Abadi Tbk.,21 Juni 2017,4.605.262.400,Utama,Consumer Cyclicals
379,BEI: HRUM,Harum Energy Tbk.,6 Oktober 2010,13.518.100.000,Utama,Energy
380,BEI: HUMI,Humpuss Maritim Internasional,9 Agustus 2023,18.046.497.883,Utama,Energy
381,BEI: HYGN,Ecocare Indo Pasifik Tbk.,13 Februari 2024,2.525.000.000,Pengembangan,Industrials
382,BEI: IATA,MNC Energy Investments Tbk.,13 September 2006,25.238.245.486,Pemantauan Khusus,Energy
383,BEI: IBFN,Intan Baru Prana Tbk.,22 Desember 2014,1.517.332.349,Pemantauan Khusus,Industrials
384,BEI: IBOS,Indo Boga Sukses Tbk.,25 April 2022,8.065.789.529,Akselerasi,Consumer Non-Cyclicals
385,BEI: IBST,Inti Bangun Sejahtera Tbk.,31 Agustus 2012,1.350.904.927,Pemantauan Khusus,Infrastructure
386,BEI: ICBP,Indofood CBP Sukses Makmur Tbk,7 Oktober 2010,11.661.908.000,Utama,Consumer Non-Cyclicals
387,BEI: ICON,Island Conces Indonesia Tbk.,8 Juli 2005,1.089.750.000,Pemantauan Khusus,Industrials
388,BEI: IDEA,Idea Indonesia Akademi Tbk.,9 September 2021,1.062.437.500,Akselerasi,Consumer Cyclicals
389,BEI: IDPR,Indonesia Pondasi Raya Tbk.,10 Desember 2015,2.003.000.000,Pengembangan,Infrastructure
390,BEI: IFII,Indonesia Fibreboard Industry,10 Desember 2019,9.412.000.000,Pengembangan,Basic Materials
391,BEI: IFSH,Ifishdeco Tbk.,5 Desember 2019,2.125.000.000,Pengembangan,Basic Materials
392,BEI: IGAR,Champion Pacific Indonesia Tbk,5 November 1990,972.204.500,Pengembangan,Basic Materials
393,BEI: IIKP,Inti Agri Resources Tbk,14 Oktober 2002,33.600.000.000,Pemantauan Khusus,Consumer Cyclicals
394,BEI: IKAI,Intikeramik Alamasri Industri,4 Juni 1997,13.305.799.387,Pemantauan Khusus,Industrials
395,BEI: IKAN,Era Mandiri Cemerlang Tbk.,12 Februari 2020,833.333.000,Pemantauan Khusus,Consumer Non-Cyclicals
396,BEI: IKBI,Sumi Indo Kabel Tbk.,21 Januari 1991,1.224.000.000,Pengembangan,Industrials
397,BEI: IKPM,Ikapharmindo Putramas Tbk.,8 November 2023,1.684.662.500,Pengembangan,Healthcare
398,BEI: IMAS,Indomobil Sukses Internasional,15 November 1993,3.994.291.039,Utama,Consumer Cyclicals
399,BEI: IMJS,Indomobil Multi Jasa Tbk.,10 Desember 2013,8.654.325.000,Pengembangan,Transportation & Logistics
400,BEI: IMPC,Impack Pratama Industri Tbk.,17 Desember 2014,54.268.500.000,Utama,Industrials
401,BEI: INAF,Indofarma Tbk.,17 April 2001,3.099.267.500,Pemantauan Khusus,Healthcare
402,BEI: INAI,Indal Aluminium Industry Tbk.,5 Desember 1994,633.600.000,Pengembangan,Basic Materials
403,BEI: INCF,Indo Komoditi Korpora Tbk.,6 September 2016,1.438.370.465,Pemantauan Khusus,Basic Materials
404,BEI: INCI,Intanwijaya Internasional Tbk,24 Juli 1990,207.656.617,Pengembangan,Basic Materials
405,BEI: INCO,Vale Indonesia Tbk.,16 Mei 1990,10.539.784.534,Utama,Basic Materials
406,BEI: INDF,Indofood Sukses Makmur Tbk.,14 Juli 1994,8.780.426.500,Utama,Consumer Non-Cyclicals
407,BEI: INDO,Royalindo Investa Wijaya Tbk.,13 Januari 2020,4.382.904.690,Pengembangan,Properties & Real Estate
408,BEI: INDR,Indo-Rama Synthetics Tbk.,3 Agustus 1990,654.351.707,Pengembangan,Consumer Cyclicals
409,BEI: INDS,Indospring Tbk.,10 Agustus 1990,6.562.497.100,Pengembangan,Consumer Cyclicals
410,BEI: INDX,Tanah Laut Tbk,17 Mei 2001,437.913.588,Pengembangan,Industrials
411,BEI: INDY,Indika Energy Tbk.,11 Juni 2008,5.210.192.000,Utama,Energy
412,BEI: INET,Sinergi Inti Andalan Prima Tbk,24 Juli 2023,7.500.065.093,Pengembangan,Infrastructure
413,BEI: INKP,Indah Kiat Pulp & Paper Tbk.,16 Juli 1990,5.470.982.941,Utama,Basic Materials
414,BEI: INOV,Inocycle Technology Group Tbk.,10 Juli 2019,1.808.221.900,Pengembangan,Consumer Cyclicals
415,BEI: INPC,Bank Artha Graha Internasional,23 Agustus 1990,20.021.178.779,Utama,Financials
416,BEI: INPP,Indonesian Paradise Property T,12 Januari 2004,11.181.971.732,Pengembangan,Properties & Real Estate
417,BEI: INPS,Indah Prakasa Sentosa Tbk.,6 April 2018,650.000.000,Pengembangan,Energy
418,BEI: INRU,Toba Pulp Lestari Tbk.,18 Juni 1990,1.388.883.283,Pengembangan,Basic Materials
419,BEI: INTA,Intraco Penta Tbk.,23 Agustus 1993,3.343.935.022,Pemantauan Khusus,Industrials
420,BEI: INTD,Inter Delta Tbk,18 Desember 1989,591.828.000,Pengembangan,Basic Materials
421,BEI: INTP,Indocement Tunggal Prakarsa Tb,5 Desember 1989,3.681.231.699,Utama,Basic Materials
422,BEI: IOTF,Sumber Sinergi Makmur Tbk.,6 Oktober 2023,5.290.298.067,Pengembangan,Technology
423,BEI: IPAC,Era Graharealty Tbk.,30 Juni 2021,949.868.500,Akselerasi,Properties & Real Estate
424,BEI: IPCC,Indonesia Kendaraan Terminal T,9 Juli 2018,1.818.384.820,Utama,Infrastructure
425,BEI: IPCM,Jasa Armada Indonesia Tbk.,22 Desember 2017,5.284.811.100,Pengembangan,Infrastructure
426,BEI: IPOL,Indopoly Swakarsa Industry Tbk,9 Juli 2010,6.443.379.509,Pengembangan,Basic Materials
427,BEI: IPPE,Indo Pureco Pratama Tbk.,9 Desember 2021,4.600.000.000,Pemantauan Khusus,Consumer Non-Cyclicals
428,BEI: IRRA,Itama Ranoraya Tbk.,15 Oktober 2019,1.600.000.000,Pengembangan,Healthcare
429,BEI: IRSX,Aviana Sinar Abadi Tbk.,7 Februari 2023,5.000.351.992,Pemantauan Khusus,Technology
430,BEI: PTIS,Indo Straits Tbk.,12 Juli 2011,550.165.300,Pengembangan,Energy
431,BEI: ISAP,Isra Presisi Indonesia Tbk.,9 Desember 2022,4.020.080.927,Akselerasi,Consumer Cyclicals
432,BEI: ISAT,Indosat Tbk.,19 Oktober 1994,32.250.810.957,Utama,Infrastructure
433,BEI: ISEA,Indo American Seafoods Tbk.,8 Juli 2024,1.390.000.000,Pengembangan,Consumer Non-Cyclicals
434,BEI: ISSP,Steel Pipe Industry of Indones,22 Februari 2013,7.185.992.035,Utama,Basic Materials
435,BEI: ITIC,Indonesian Tobacco Tbk.,4 Juli 2019,940.720.000,Pengembangan,Consumer Non-Cyclicals
436,BEI: ITMA,Sumber Energi Andalan Tbk.,10 Desember 1990,999.053.167,Pengembangan,Energy
437,BEI: ITMG,Indo Tambangraya Megah Tbk.,18 Desember 2007,1.129.925.000,Utama,Energy
438,BEI: IPTV,MNC Vision Networks Tbk.,8 Juli 2019,42.197.950.841,Pemantauan Khusus,Consumer Cyclicals
439,BEI: JARR,Jhonlin Agro Raya Tbk.,4 Agustus 2022,9.230.665.050,Utama,Consumer Non-Cyclicals
440,BEI: JAST,Jasnita Telekomindo Tbk.,16 Mei 2019,1.082.575.738,Pemantauan Khusus,Infrastructure
441,BEI: JATI,Informasi Teknologi Indonesia,8 Mei 2023,3.262.520.106,Pengembangan,Technology
442,BEI: JAWA,Jaya Agra Wattie Tbk.,30 Mei 2011,16.232.951.842,Pengembangan,Consumer Non-Cyclicals
443,BEI: JAYA,Armada Berjaya Trans Tbk.,21 Februari 2019,798.499.394,Pengembangan,Transportation & Logistics
444,BEI: JECC,Jembo Cable Company Tbk.,18 November 1992,756.000.000,Pengembangan,Industrials
445,BEI: JGLE,Graha Andrasentra Propertindo,29 Juni 2016,22.581.909.405,Pemantauan Khusus,Consumer Cyclicals
446,BEI: JIHD,Jakarta International Hotels &,29 Februari 1984,2.329.040.482,Pemantauan Khusus,Consumer Cyclicals
447,BEI: JKON,Jaya Konstruksi Manggala Prata,4 Desember 2007,16.308.519.860,Utama,Infrastructure
448,BEI: JKSW,Jakarta Kyoei Steel Works Tbk.,6 Agustus 1997,150.000.000,Pemantauan Khusus,Basic Materials
449,BEI: JMAS,Asuransi Jiwa Syariah Jasa Mit,18 Desember 2017,1.000.000.000,Pengembangan,Financials
450,BEI: JPFA,Japfa Comfeed Indonesia Tbk.,23 Oktober 1989,11.726.575.201,Utama,Consumer Non-Cyclicals
451,BEI: JRPT,Jaya Real Property Tbk.,29 Juni 1994,13.750.000.000,Pengembangan,Properties & Real Estate
452,BEI: JSPT,Jakarta Setiabudi Internasiona,12 Januari 1998,2.318.736.000,Pengembangan,Consumer Cyclicals
453,BEI: JSKY,Sky Energy Indonesia Tbk.,28 Maret 2018,2.032.540.000,Pemantauan Khusus,Energy
454,BEI: JSMR,Jasa Marga (Persero) Tbk.,12 November 2007,7.257.871.200,Utama,Infrastructure
455,BEI: JTPE,Jasuindo Tiga Perkasa Tbk.,16 April 2002,6.852.050.000,Utama,Industrials
456,BEI: KAEF,Kimia Farma Tbk.,4 Juli 2001,5.566.584.590,Pengembangan,Healthcare
457,BEI: KARW,Meratus Jasa Prima Tbk.,20 Desember 1994,587.152.700,Pemantauan Khusus,Infrastructure
458,BEI: KAYU,Darmi Bersaudara Tbk.,4 Juli 2019,665.000.000,Pemantauan Khusus,Basic Materials
459,BEI: KBAG,Karya Bersama Anugerah Tbk.,8 April 2020,7.150.002.603,Pemantauan Khusus,Properties & Real Estate
460,BEI: KBLI,KMI Wire & Cable Tbk.,6 Juli 1992,4.007.235.107,Utama,Industrials
461,BEI: KBLM,Kabelindo Murni Tbk.,1 Juni 1992,1.120.000.000,Pengembangan,Industrials
462,BEI: KBLV,First Media Tbk.,25 Februari 2000,1.742.167.907,Pemantauan Khusus,Infrastructure
463,BEI: KBRI,Kertas Basuki Rachmat Indonesi,11 Juli 2008,8.687.995.734,Pemantauan Khusus,Basic Materials
464,BEI: KDSI,Kedawung Setia Industrial Tbk.,29 Juli 1996,1.620.000.000,Pengembangan,Basic Materials
465,BEI: KDTN,Puri Sentul Permai Tbk.,9 November 2022,1.250.023.298,Pengembangan,Consumer Cyclicals
466,BEI: KEEN,Kencana Energi Lestari Tbk.,2 September 2019,3.666.312.500,Utama,Infrastructure
467,BEI: KEJU,Mulia Boga Raya Tbk.,25 November 2019,1.500.000.000,Pengembangan,Consumer Non-Cyclicals
468,BEI: KETR,Ketrosden Triasmitra Tbk.,11 Januari 2021,2.841.262.838,Pengembangan,Infrastructure
469,BEI: KIAS,Keramika Indonesia Assosiasi T,8 Desember 1994,14.929.100.000,Pemantauan Khusus,Industrials
470,BEI: KICI,Kedaung Indah Can Tbk,28 Oktober 1993,276.000.000,Pengembangan,Consumer Cyclicals
471,BEI: KIJA,Kawasan Industri Jababeka Tbk.,10 Januari 1995,20.824.888.369,Utama,Properties & Real Estate
472,BEI: KING,Hoffmen Cleanindo Tbk.,16 Februari 2023,2.600.207.425,Akselerasi,Industrials
